Year,Country,AthleteCount
1996,Barbados,7
1996,Croatia,7
1996,Argentina,12
1996,Puerto Rico,12
1996,Kazakhstan,19
1996,Russia,91
1996,Australia,55
1996,Bulgaria,56
1996,Morocco,5
1996,Switzerland,26
1996,Greece,48
1996,Czech Republic,12
1996,Georgia,7
1996,South Korea,60
1996,Japan,87
1996,Slovakia,5
1996,Ukraine,91
1996,Ireland,7
1996,North Korea,7
1996,Latvia,5
1996,Armenia,7
1996,Norway,7
1996,Portugal,5
2000,Egypt,5
2000,Iceland,7
2000,Russia,74
2000,Romania,69
2000,Spain,74
2000,Canada,38
2000,Ukraine,74
2000,Italy,46
2000,Poland,10
2000,France,71
2000,South Korea,47
2000,United States,74
2000,Uzbekistan,5
2000,Australia,46
2000,Brazil,10
2000,Hungary,11
2000,China,74
2000,Kazakhstan,9
2000,Japan,52
2000,Namibia,5
2000,Georgia,7
2000,Belarus,74
2000,Great Britain,39
2000,Bulgaria,42
2000,Greece,15
2000,Czech Republic,10
2000,Lithuania,5
2000,Cuba,14
2000,Chinese Taipei,7
2000,Puerto Rico,7
2000,Mexico,2
2000,Venezuela,5
2000,Slovenia,7
2000,North Korea,17
2000,Germany,42
2000,Belgium,5
2000,New Zealand,12
2000,Switzerland,7
2000,Slovakia,5
2000,Argentina,5
2000,Norway,7
2000,Latvia,7
2000,Malaysia,2
2004,Ukraine,73
2004,Iceland,7
2004,Germany,52
2004,Italy,52
2004,Greece,19
2004,Romania,72
2004,Canada,74
2004,Spain,72
2004,France,74
2004,Portugal,7
2004,United States,74
2004,Russia,72
2004,Tunisia,7
2004,Argentina,5
2004,China,72
2004,Uzbekistan,2
2004,Brazil,39
2004,Bolivia,5
2004,Cuba,19
2004,Great Britain,32
2004,Hungary,8
2004,Georgia,7
2004,Colombia,7
2004,Israel,7
2004,North Korea,38
2004,Netherlands,10
2004,Japan,52
2004,Belarus,17
2004,South Korea,46
2004,Czech Republic,5
2004,Bulgaria,13
2004,South Africa,5
2004,Mexico,9
2004,Switzerland,16
2004,Australia,36
2004,Malaysia,7
2004,Latvia,10
2004,Slovakia,5
2004,Belgium,5
2004,Puerto Rico,7
2004,Sweden,5
2004,Kazakhstan,7
2008,Germany,66
2008,Romania,67
2008,Russia,66
2008,Yemen,4
2008,Italy,65
2008,United States,63
2008,Brazil,30
2008,France,66
2008,Greece,7
2008,Poland,6
2008,Hungary,9
2008,Australia,33
2008,Spain,46
2008,Great Britain,39
2008,Mexico,5
2008,Switzerland,14
2008,North Korea,7
2008,China,62
2008,Canada,46
2008,Vietnam,5
2008,Egypt,10
2008,Croatia,8
2008,Uzbekistan,10
2008,Venezuela,10
2008,Georgia,3
2008,Colombia,10
2008,Netherlands,6
2008,Ukraine,31
2008,Belarus,42
2008,South Korea,42
2008,Japan,63
2008,Czech Republic,7
2008,Slovakia,3
2008,Belgium,10
2008,Luxembourg,6
2008,Slovenia,5
2008,Puerto Rico,7
2008,Israel,6
2008,Bulgaria,6
2008,Lithuania,5
2012,Russia,49
2012,Sweden,4
2012,Italy,49
2012,Israel,17
2012,Kazakhstan,10
2012,Romania,47
2012,Ireland,1
2012,France,43
2012,Germany,49
2012,Hungary,7
2012,Canada,23
2012,Australia,25
2012,Spain,33
2012,Tunisia,1
2012,Bangladesh,3
2012,Great Britain,48
2012,Portugal,11
2012,Switzerland,11
2012,Chile,6
2012,China,45
2012,Mexico,4
2012,United States,50
2012,Armenia,7
2012,Brazil,28
2012,Vietnam,6
2012,Egypt,13
2012,Croatia,6
2012,Austria,10
2012,Colombia,10
2012,Slovenia,4
2012,Guatemala,4
2012,Lithuania,6
2012,South Korea,32
2012,Slovakia,6
2012,Belarus,3
2012,Japan,48
2012,Czech Republic,10
2012,Ukraine,34
2012,Poland,10
2012,Singapore,4
2012,Venezuela,4
2012,Greece,7
2012,Bulgaria,5
2012,Argentina,6
2012,Belgium,10
2012,Dominican Republic,2
2012,Puerto Rico,5
2012,Hong Kong,9
2012,Azerbaijan,6
2012,Latvia,6
2012,Turkey,1
2012,Finland,4
2012,Netherlands,6
2016,Spain,11
2016,Russia,52
2016,France,45
2016,Germany,45
2016,Panama,4
2016,Brazil,46
2016,Turkey,10
2016,Switzerland,34
2016,Ireland,10
2016,Slovenia,1
2016,Great Britain,47
2016,United States,49
2016,Canada,25
2016,Algeria,10
2016,Colombia,10
2016,Chile,6
2016,Uzbekistan,8
2016,Argentina,5
2016,Mexico,7
2016,Monaco,6
2016,Armenia,6
2016,China,45
2016,Belgium,20
2016,Netherlands,45
2016,Croatia,4
2016,Trinidad and Tobago,4
2016,Belarus,10
2016,Romania,12
2016,Austria,4
2016,Italy,25
2016,Egypt,4
2016,Cyprus,6
2016,Guatemala,4
2016,Hungary,6
2016,North Korea,3
2016,Ukraine,33
2016,Czech Republic,6
2016,Poland,4
2016,India,5
2016,Japan,49
2016,South Korea,30
2016,Finland,6
2016,New Zealand,12
2016,Cuba,17
2016,Sweden,4
2016,Chinese Taipei,1
2016,Venezuela,4
2016,Greece,3
2016,Portugal,4
2016,Australia,2
2016,Slovakia,4
2016,Peru,4
2016,South Africa,6
2016,Azerbaijan,12
2016,Vietnam,3
2016,Iceland,4
2016,Israel,2
2016,Norway,6
2016,Lithuania,7
2016,Jamaica,4
